Thomson, John Mansfield and Paul, Janet (Editors)	Frederick Page - A Musician's Journal 1905-1983	1	John McIndoe Ltd	Book - hardcover	36	false			biography	true		199 p., [8] p. of plates : ill. (some col.), fascsims., ports ; 21 cm.			Peter Crowe's series of interviews with Frederick Page undoubtedly provided the stimulus for this volume. Frederick had always been a lively writer from his early reviews in Music in New Zealand onwards: he made his strongest impression with 'A Musician's Journal', a series of articles in Landfall, whose title has been transferred to this book. They proclaimed his discovery of the new music at Darmstadt in the late 1950s and shortly afterwards, his response to music in China. A notable pianist, teacher and incalculable influence on the young, Frederick Page summons up people and places wit ha vivid, painterly impressionism.		(c)Estate of Frederick Page		1986												yes		0-86868-080-X			
Powell, Kit	The Complete Harmony	2	Nota Bene Music Publishing Co-operative  	book or booklet - paperback	39	false			music theory	true		[26] leaves : music ; 10 x 21 cm.	tiny yellow book		The author has found all other harmony texts in his experience, too long and too detailed. He has therefore designed he present text to be commensurate with the importance of the subject and also of such a length as not to strain too seriously the concentration span of the normal healthy student.				1983												yes					
Norman, Philip and Harris, Valerie (Editors)	Douglas Lilburn A Festschrift 	2	Composer's Association of New Zealand Inc	journal	41	true	$5	BOSCHRIFT	biography	true	Canzona January 1980 vol 1 no 3	114 p. : ill., music, ports. ; 30 cm	these 2 copies live in the biography section on the shelves. see also #107 in the Canzona box		first published January 1980 as Canzona Volume 1 Number 3, a festschrift for Douglas Lilburn on his retirement from the Victoria University of Wellington: January 31, 1980. Second edition published July 1980. This publication is a tribute in the form of a composite portrait of Douglas Lilburn, sketched by a selection of his friends, pupils and colleagues to honour the occasion of his retirement from Victoria University. "Of great value during our research... was the 1980 Festschrift, published by CANZ." - Roger Smith and Gareth Watkins (Producers of the ten-part Radio New Zealand series "Douglas: The Landscape of a New Zealand Composer").			Canzona	1980												yes		0-9597584-1-0			
McLean, Mervyn  (Editor)	Catalogue of Radio New Zealand Recordings of Maori Events 1938 - 1950 RNZ 1 - 60	1	Archive of Maori and Pacific Music, University of Auckland	Book or booklet - Paperback	42	false			Bibliography	true		169 p. ; 30 cm.					(c) Archive of Maori and Pacific Music 1991	Catalogue No. 2	1991												yes		0-9598005-0-6			
McLean, M & Curnow, J (Editors)	Catalogue of McLean Collection Recordings of Traditional Maori Songs 1958 - 1979McL 1 - 1283	1	Archive of Maori and Pacific Music, University of Auckland	Book or booklet - Paperback	43	false			bibliography	true		431 p. : 1 map ; 30 cm.					(c) Archive of Maori and Pacific Music 1992	Catalogue No. 3	1992												yes		0-9598005-1-4			
McLean, M & Curnow, J (Editors)	Catalogue of Museum of New Zealand Cylinder Recordings of Traditional Maori Songs 1919 - c1935	1	Archive of Maori and Pacific Music, University of Auckland	Book or booklet - Paperback	44	false			bibliography	true		280, [19] p. : ill., facsim., ports. ; 30 cm.					(c) Archive of Maori and Pacific Music 1992	Catalogue No. 4	1992												yes		0-9598005-2-2			
	The Collection of Douglas Lilburn Manuscripts in the Alexander Turnbull Library	1	Alexander Turnbull Library 	Book or booklet - Paperback	56	false			bibliography	true		xvii, 178 p. ; 30 cm.					(c) Alexander Turnbull Library 1990		1990												yes		0-477-07442-1			
Thomson, J.M.  (Editor)	The Attentive Ear - A workbook on music criticism	1	Centre for Continuing Education Victoria University	book or booklet - paperback	57	true	$5	BOEAR	Commentary or analysis	true		94 p. ; 21 cm.		I	"This book is provocative, amusing and useful" - Peter Shaw (from a review in Canzona, Autumn 1988). The workbook is edited and introduced by J.M Thomson with contributions by Jack Body, Judith Clark, David Farquhar, Elizabeth Kerr and many more		(c) J M Thomson and contributors, 1987		1987												yes		0-475-10601-6			
Lilburn, Douglas	A Search for Tradition - A Talk Given at the First Cambridge Summer School of Music January 1946 by Douglas Lilburn.	1	Alexander Turnbull Library Endowment Trust and the New Zealand Composers Foundation	Book or booklet - Paperback	58	true	$6.50	BO071	commentary or analysis	true		31 p. : music, col. port. ; 21 cm			A Search for Tradition is a seminal talk given by Douglas Lilburn at what John Mansfield Thomson calls in his introduction, "the first halcyon summer school" held for young musicians in Cambridge in 1946. "This talk will always remain...the cry of the watchman heralding the dawn." 		(c) Douglas G Lilburn 1984, Introduction (c) J M Thomson 1984		1984												yes		0-908702-00-0			
Lilburn, Douglas	A Search for a Language - University of Otago Open Lecture 12 March 1969 by Douglas Lilburn	1	Alexander Turnbull Library Endowment Trust and New Zealand Composers Foundation	Book or booklet - Paperback	59	true	$6.50	BO071LANG	commentary or analysis	true		27 p. : music, port. ; 21 cm			Alone he paces an empty beach, creating in his head bare harmonies of sand and wave... Wild honey, Alistair Campbell. Between Douglas Lilburn's 1946 Cambridge Summer School talk and this 1969 University of Otago open lecture, a complete upheaval in the nature of European composition and performance had occurred. Read how Lilburn came to terms with the changing language of music.		(c) Doublas G Lilburn 1985. Introduction (c) J M Thomson 1985		1985												yes		0-908702-04-3			
Thomson, John Mansfield	Musical ImagesA New Zealand historical journey 1840-1990	2	National Library of New Zealand/Te Puna Matauranga O Aotearoa	book or booklet - Paperback	60	false			history	true		63 p. : ill., facsims., music, ports. ; 20 cm			Catalogue of an exhibition held in the National Library of New Zealand 15 September - 3 November 1990 to mark 150 years of musical acivity in New Zealand. With catalogue essay by John Mansfield Thomson, the exhibition curator.		Catalogue essay (c) John Mansfield Thomson 1990		1990												yes		0-477-07439-1			
Norman, Philip (Editor)	Bibliography of New Zealand Compositions	1	Nota Bene Music	Book or booklet - Paperback	64	false			bibliography	true		140 p. : ports. ; 30 cm.			Vol. 1 (1940-1980)				1980												yes		0-9597584-0-2			
Baysting, Arthur (Ed)	Getting Started in the Music Business - A Survival Manual for NZ musicians	1	Ode Record and Publishing Co.	book or booklet - paperback	70	false			industry manual - NZ	true		92 p. ; 19 cm.					(c) New Zealand Music Promotion Committee, Radio New Zealand, 1987		1987												yes					
	Price Milburn Music - Catalogue 1980	1	Price Milburn Music Limited	Book or booklet - paperback	76	false			bibliography	true									1980												yes					
	Arts in the New Zealand Curriculum	1	Education Review Office	book or booklet - paperback	81	false			industry manual - NZ	true		30 p. ; 26 cm.	in annual reports		Number 2 Autumn 1995		(c) Crown		1995												yes		0-478-04917-X			
Royal, Te Ahukaramu Charles 	Kati au i konei - a collection of songs from Ngati Toarangatira and Ngati Raukawa	1	Huia Publishers	book or booklet - paperback	83	false			Commentary or analysis	true		109 p. : ill., geneal. tables, maps, ports. ; 27 cm.			Kati au i konei is a collection of waiata from Ngati Toarangatira and  Ngati Raukawa of the southern reaches of Te Ika-a-Maui (North Island). It contains 15 waiata composed by members of these two tribes.  The collection follows the model created by Sir Apirana Ngata in his monumental Nga Moteatea series of collected waiata. Also contains contributions by current authorities and exponents of waiata. The text is fully bilingual.		(c) Huia Publishers 1994		1994					Dedicated to the memory of Whata Karaka Davis and Charlotte Ria Te Uira Solomon and to all those who have passed to the next world. 							yes		0-908975-06-6			
Amos Jean D (compiler)	A Catalogue of Orchestral Works by New Zealand Composers (CAYOF)	1	Waiteata Press	Book or booklet - paperback	87	false			bibliography	true		21 p. ; 21 x 30 cm.			Suitable for performance by the members of the Community and Youth Orchestra Federation and other educational bodies.				1990												yes					
Simpson, Adrienne and Downes, Peter	Southern Voices - International Opera Singers of New Zealand	1	Reed	book or booklet - paperback	88	false			biography	true		283 p. : ill., ports. ; 25 cm.			Throughout the twentieth century, New Zealand has provided the world with some of its finest operatic talents, many of whom are idolised abroad but largely unknown at home. This book is a celebration of their achievements. The careers of nineteen international singers are described by Adrienne Simpson and Peter Downes, with facinating insights into their motivation, their methods of coping with pressure, their views on other performers and their attitudes to their homeland.		(c) Adrienne Simpson and Peter Downes 1992		1992												yes		0-7900-0225-6			
GilkisonAlistair	Archive of New Zealand Sheet Music	1	Alistair Gilkison	book or booklet - paperback	90	false			bibliography	true		[ii], 49 p. : col. ill. ; 30 cm			Every piece of sheet music in the archive was composed and published in New Zealand, alhough a few overseas items with strong New Zealand associations are also included.		(c) Alastair Gilkison 2007		2007												yes					
	Canzona October 1975 	2	Composers Association of New Zealand	journal	98	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm			Includes articles about Sonic Circus; Jenny McLeod; 			Canzona	1975												yes					0110-7771
Love, Robert (Editor)	Composers Association of New Zealand Newsletter February 1976	2	Composers Association of New Zealand	journal	99	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm						Canzona	1976												yes					0110-7771
Love, Robert and Sanders, Noel (Editors)	Composers Association of New Zealand Newsletter Spring 1976	1	Composers Association of New Zealand	journal	100	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm			Articles about Dorothy Buchanan; The New Zealand Music Information Centre; 			Canzona	1976												yes					0110-7771
Sell, David and McDonald, Ranald (Editors)	Composers Association of New Zealand Newsletter March 1977	1	Composers Association of New Zealand	journal	101	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm						Canzona	1977												yes					0110-7771
Southgate, William and Freed, Dorothy (Editors)	Composers Association of New Zealand Newsletter September 1977	2	Composers Association of New Zealand	journal	102	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm			Current developments in New Zealand Music; 			Canzona	1977												yes					0110-7771
Daverne, Gary and Phillips, Bryony (Editors)	Composers' Association of New Zealand Newsletter March 1978	2	Composers' Association of New Zealand	journal	103	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm			New Zealand music - present patterns, future directions; archive of New Zealand Music and Research; Thomas Rive; Composers' coference in Wellington; electronic music at Otago			Canzona	1978												yes					0110-7771
Daverne, Gary and Phillips, Bryony (Editors)	Daverne, Gary and Phillips, Bryony (Editors) Newsletter October 1978	1	Composers' Association of New Zealand	journal	104	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm			Articles about Sonic Circus 5; Bert Turetzky composers' forum; Paul Emsley; Ross Harris; Larry Pruden; Tristan and Iseult by Gillian Whitehead; 			Canzona	1978												yes					0110-7771
Daverne, Gary and Phillips, Bryony (Editors)	Composers' Association of New Zealand Newsletter April 1979	2	Composers' Association of New Zealand	journal	105	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm			Articles about Double Music by Ross Harris; Phil Dadson; John Rimmer; 			Canzona	1979												yes					0110-7771
Buchanan, Dorothy and Norman, Philip (Editors)	Canzona September 1979 vol 1 no 2	2	Composers' Association of New Zealand	journal	106	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm			Articles about Lyall Creswell; Tony Ryan; Owen Jensen; 			Canzona	1979												yes					0110-7771
Harris, Valerie and Norman, Philip (Editors)	Canzona January 1980 vol 1 no 3	2	Composers' Association of New Zealand	journal	107	true	$2	BOCANZMAGS	Commentary or analysis	true	Douglas Lilburn A Festschrift	v. : ill. ; 28 cm.	these 2 copies live in the Canzona box. See also record #41		The original issue of this publication is a tribute in the form of a composite portrait of Douglas Lilburn, sketched by a selection of his friends, pupils and colleagues to honour the occasion of his retirement from Victoria University. "Of great value during our research... was the 1980 Festschrift, published by CANZ." - Roger Smith and Gareth Watkins (Producers of the ten-part Radio New Zealand series "Douglas: The Landscape of a New Zealand Composer"). 			Canzona	1980												yes					
Norman, Philip and Buchanan, Dorothy and Harris, Valerie (Editors)	Canzona March 1980 vol 1 no 4	1	Composers' Association of New Zealand	journal	108	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm			Article about Thomas Vernon Griffiths; Christopher Chris Cree Brown; electronic music in New Zealand; Variation on a Theme by Douglas Lilburn, by Gary Davern			Canzona	1980												yes					0110-7771
Bibby, Gillian (Editor)	Canzona October 1980	1	Composers' Association of New Zealand	journal	109	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm			Symphony no 3 by Douglas Lilburn; William David Southgate; 			Canzona	1980												yes					0110-7771
Bibby, Gillian and Body, Jack and Harris, Valerie (Editor)	Canzona December 1980	2	Composers' Association of New Zealand	journal	110	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm			Colour in compositions Michael Smither; Douglas Lilburn Overture for Strings, Canzona no 2 for Strings, In Memoriam Noel Newson, Introduction and Allegro for strings, Canzona no 1 for Strings; Dorothy Freed A Nursery Tale; 			Canzona	1980												yes					0110-7771
Bibby, Gillian (Editor)	Canzona March 1981	2	Composers' Association of New Zealand	journal	111	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm			Music publishing in New Zealand; Douglas Lilburn's piano music; David Farquhar; 			Canzona	1981												yes					0110-7771
Harris, Valerie and Pruden, Larry and Rimmer, John (Editors)	Canzona June 1981 vol 3 no 8	2	Composers' Association of New Zealand	journal	112	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm			Gary Daverne; 			Canzona	1981												yes					0110-7771
Harris, Valerie and Rimmer, John (Editors)	Canzona October 1981 Vol 3 no 9	2	Composers' Association of New Zealand	journal	113	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm.			Includes a guide to Douglas Lilburn's Carousel; early music influences; a number of references to the composer-in-schools scheme; Ross Harris and the EMS studio at Victoria University; 			Canzona	1981												yes					0110-7771
Norman, Philip (Editor)	Canzona November 1981 vol 3 no 10	3	Composers' Association of New Zealand	journal	114	true	$2	BOCANZMAGS	Commentary or analysis	true	Aspects of New Zealand Composition 1950-1980	v. : ill. ; 28 cm.			Volume 3 number 10 November 1981. The essays in this collection were all written for presentation at the 1981 Asian Composers' Conference/Festival as part of a written report on New Zealand composition. Because of restrictions on space, the report presented in Hong Kong was an abridged version. In this issue of Canzona, most of the articles are presented in their entirety.  Includes references to South Pacific Culture, Nz Culture, popular music, maori music, 20th century genres and sonic art.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             			Canzona	1981												yes					0110-7771
Harris, Valerie and Rimmer, John (Editors)	Canzona May 1982 vol 3 no 11	2	Composers' Association of New Zealand	journal	115	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm.			Includes a bigraphical article by Gillian Whitehead; Allemusik and the Cambridge Summer school, and an interview with Robin Maconie about his biography of Alfred Hill.			Canzona	1982												yes					0110-7771
Norman, Philip and Harris, Valerie (Editors)	Canzona July 1982 vol 4 no 12	2	Composers' Association of New Zealand	journal 	116	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm.			Includes an article by Jack Body about the Asian influences on his music; an interview with Dorothy Buchanan about her work, and reviews of Kit Powell premiers.			Canzona	1982												yes					0110-7771
Norman, Philip and James, Bryan and Harris, Valerie (Editors)	Canzona October 1982 vol 4 no 13	2	Composers' Association of New Zealand	journal 	117	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm.			Includes a profile about music in Nelson: Nelson School of music, jazz music, maori music, improvised music, Bryan James			Canzona	1982												yes					0110-7771
Norman Philip and Harris, Valerie (Editors)	Canzona January 1983 vol 4 no 14	2	Composers' Association of New Zealand	journal	118	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm.			Includes biography of Larry Pruden.			Canzona	1983												yes					0110-7771
Norman, Philip and Harris, Valerie (Editors)	Canzona May 1983 vol 4 no 3	2	Composers' Association of New Zealand	journal	119	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm.			Includes biographical article on Larry Pruden; Six Thoughts from the Cross by Felicity Williams; review of Christophorus by Kit Powell.			Canzona	1983												yes					0110-7771
Bibby, Gillian and Harris, Valerie (Editors)	Canzona February 1984 vol 5 no 17	2	Composers' Association of New Zealand	journal	121	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm.			Includes biographical articles about Larry Pruden, Soliloquy for Strings, and Looking for a Lost Guinea-pig at Daybreak; articles about Frederick Page;  reviews of Kia Mau te Rongo by Ross Harris, and The Neap Tides by Chris Cree-Brown.			Canzona	1894												yes					0110-7771
Elmsly, John(Editor)	Canzona - November 1984 Vol 6 no 18	1	Composers' Association of New Zealand	journal	122	false			Commentary or analysis	true	Asia Pacific Festival Souvenir Programme	v. : ill. ; 28 cm.	in conferences		Includes articles by Annea Lockwood and John Cousins about their work. 			Canzona	1984												yes					0110-7771
Elmsly, John(Editor)	Canzona November 1984 Vol 6 no 19	2	Composers' Association of New Zealand	journal	123	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm.			Includes an article about Edwin Carr and his work The Exile; reviews of Meeting Place, and Fantasia by John Rimmer; Runes, and Encounters by Jack Body; Waituhi by Ross Harris			Canzona	1984												yes					0110-7771
Elmsly, John (Editor)	Canzona May 1985 vol 7 no 20	2	Composers' Association of New Zealand	journal	124	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm.			Ashley Heenan retirement tributes; review of Helen Caskie works, Footrot Flats  by Philip Norman, From Scratch works, The Kiss by Douglas Mews, and orchestral pieces by Douglas Lilburn and John Rimmer.			Canzona	1985												yes					0110-7771
East, Jack (Editor)	Canzona October 1985 Vol 7 no 21	2	Composers' Association of New Zealand	journal	125	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm.			An article about Douglas Lilburn and the solo song; analysis of In Sympathy by Chris Cree Brown; analyses of Harbour Nocturne, and String Trio by Larry Pruden.			Canzona	1985												yes					0110-7771
Elmsly, John (Editor)	Canzona November 1985 Vol 7 no 22	2	Composers' Association of New Zealand	journal	126	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm.			An article about the Music Federation of New Zealand; The Pledge by Helen Caskie; commentary on Three Inscapes by Douglas Lilburn. Includes a cumulative index of Canzona vol 4 no 12 to vol 7 no 21			Canzona	1985												yes					0110-7771
Elmsly, John (Editor)	Canzona December 1985 vol 7 no 23	2	Composers' Association of New Zealand	journal	127	true	$2	BOCANZMAGS	Commentary or analysis	true	Musical Scores	v. : ill. ; 28 cm.			A collection of recent compositions or extracts by CANZ members, including Euphoria by Warwick Blair; Full Moon by Richard Bolley; Invention for Two Flutes by Helen Caskie; Efflux for Piano Duet by Eve de Castro-Robinson; Fanfare for Philip Glass by David Hamilton; A Sign for You by Geoffrey Hinds; Cryptogram & Aeolus by Bryan James; String Quartet No 1 (2nd Movt) by Nigel Keay; String Quartet by Anthony Ritchie.			Canzona	1985												yes					0110-7771
Thomas, Allan and Clark, Ross (Editors)	Canzona - June 1986 Vol 7 no 24	2	Composers' Association of New Zealand	journal	128	true	$5	BOASIAPAC	Commentary or analysis	true	Asia Pacific Voices	v. : ill. ; 28 cm.			rom Indian film music to emergent dance forms in Polynesia to Songs of the Yami, these are just some of the topics covered in papers given at the 1984 Asia Pacific Festival in Wellington. This publication also features From Scratch's award-winning composition Pacific 3-2-1-Zero which was joint recipient of the Yoshiro Irino Memorial Prize in 1984, also including references to Maori music by Ross Clark and Allan Thomas.			Canzona	1986												yes					0110-7771
Norman, Philip and Ritchie, Anthony (Editors)	Canzona August 1986 vol 8 no 25	2	Composers' Association of New Zealand	journal	129	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm.			Includes article about Vernon Griffiths; reviews of Quartet for Piano, Violin, Viola and Cello by Nigel Keay; Brecht's Mother Courage by Helen Caskie; Balkan Bagpipes by Anthony Ritchie			Canzona	1986												yes					0110-7771
Norman, Philip and Ritchie, Anthony (Editors)	Canzona December 1986 vol 8 no 26	2	Composers' Association of New Zealand	journal	130	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm.			Includes interviews with Jack Speirs and John Drummond; 			Canzona	1986												yes					0110-7771
Ritchie, Anthony (Editor)	Canzona March 1987 vol 8 no 27	2	Composers' Association of New Zealand	journal	131	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm.			reviews of a concert of music by Eric Biddington; Cosmic Praise by David Griffiths; John Rimmer's Composition Series - problems and possibilities in live electronic music.			Canzona	1987												yes					0110-7771
Lodge, Martin (Editor)	Canzona Spring 1987 vol 9 no 28	2	Composers' Association of New Zealand	journal	132	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm.			An article about the work of Gillian Whitehead; 			Canzona	1987												yes					0110-7771
Lodge, Martin (Editor)	Canzona Autumn 1988 vol 9 no 29	2	Composers' Association of New Zealand	journal	133	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm.			Including articles on Maurice Clare, and Wellington Sonic Circus			Canzona	1988												yes					0110-7771
de Castro-Robinson, Eve and Hulford, Denise (Editors)	Canzona Spring 1988 vol 10 no 30	3	Composers' Association of New Zealand	journal	134	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm.			A review of La Passion de Jeanne D'Arc by Dorothy Buchanan; Jack Winter's Dream by Ashley Heenan; tributes to Gerard Crotty; a criticism of David Hamilton; 			Canzona	1988												yes					0110-7771
de Castro-Robinson, Eve and Hulford, Denise (Editors)	Canzona Summer 1989 vol 11 no 31	2	Composers Association of New Zealand	journal	135	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm.			A retrospective of Douglas Mews work; Symphony No 3 by Edwin Carr; Annea Lockwood; Symphony by Ken Young; review of a concert of works by Eve de Castro-Robinson; Concerto for Flute and String Orchestra by Eric Biddington.			Canzona	1989												yes					0110-7771
Keay, Nigel (Editor)	Canzona Winter 1989 vol 12 no 32	1	Composers' Association of New Zealand	journal	136	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm.			Articles on Philip Norman; Lyell Cresswell; reviews of Six Meditations by Christopher Prosser; Prelude and Allegro for Strings by Anthony Watson; a concert of works by John Rimmer; String Quartet by David Farquhar.			Canzona	1989												yes					0110-7771
Williams, Felicity and Johns, Louise (Editors)	Canzona Winter 1990 vol 13 no 33	1	Composers' Association of New Zealand	journal	137	true	$2	BOCANZMAGS	Commentary or analysis	true		v. : ill. ; 28 cm.			Anthony Ritchie recent work; 			Canzona	1990												yes					0110-7771
Malcolm, Gerrard (editor)	Canzona 1993	1	Composers' Association of New Zealand	journal	140	true	$25	BOCANZONA	Commentary or analysis	true		v. : ill. ; 28 cm.			The symphonies of Douglas Lilburn; Music for tape and live performers by Juliet Palmer; 			Canzona	1993												yes					0110-7771
Dadson, Philip and McGlashan, Don	From Scratch Rhythm Workbook	1	Heinemann Education	book or booklet - paperback	141	false			education resource	true		88 p. : ill., music ; 30 cm.	black cover (original version) - new version see #677		First publication of this popular workbook. A set of rhythm games and exercises devised by Philip Dadson and Don McGlashan, with thanks to Wayne Laird and Geoff Chapple. Includes sections on composition, instrument making, and a discography of From Scratch recordings		(c) 1990		1990												yes		0-86863-081-0			
O'Connor, Naomi	A Brief Guide to New Zealand Art and Culture	1	Craig Potton Publishing	book or booklet - paperback	143	false			Commentary or analysis	true		69 p. : ill. (some col.), ports. (some col.) ; 24 cm.			A Brief Guide to New Zealand Art and Culture is an informative, practical, well-illustrated and succinctly written introduction to New Zealand's developing cultural heritage. Provides a how-to guide to experiencing New Zealand's art and culture, and noteworthy individuals in a range of areas - the visual arts, craft, literature, architecture, film, music, music, dance, theatre, cuisine and sport.		(c) Craig Potton Publishing 1995		1995												yes		0-908802-28-5			
Armstrong, Alan	Games and Dances of the Maori People	1	Viking Sevenseas New Zealand Ltd	book or booklet - paperback	144	true	$19	BOARMGAME	Commentary or analysis	true		92 p. : ill. (some col.), music ; 26 cm.			This book is an introduction to a selection of Maori games and dances with clear diagrams and photos to accompany Alan Armstrong's informative and instructional text. 		(c) Alan Armstrong 1986		1986												yes		0-85467-0882			
