Americanize Americanized Americanizing Americanizes
afford afforded affording affords
afforest afforested afforesting afforests
affranchise affranchised affranchising affranchises
affray affrayed affraying affrays
affright affrighted affrighting affrights
affront affronted affronting affronts
agenize agenized agenizing agenizes
agent agented agenting agents
agglomerate agglomerated agglomerating agglomerates
agglutinate agglutinated agglutinating agglutinates
aggrade aggraded aggrading aggrades
aggrandize aggrandized aggrandizing aggrandizes
aggravate aggravated aggravating aggravates
aggregate aggregated aggregating aggregates
aggress aggressed aggressing aggresses
aggrieve aggrieved aggrieving aggrieves
agitate agitated agitating agitates
agnise agnised agnising agnises
agnize agnized agnizing agnizes
agonise agonised agonising agonises
agonize agonized agonizing agonizes
agree agreed agreeing agrees
aid aided aiding aids,
ail ailed ailing ails
aim aimed aiming aims
air aired airing airs
airbrush airbrushed airbrushing airbrushes
airdrop airdropped airdropping airdrops
airfreight airfreighted airfreighting airfreights
airlift airlifted airlifting airlifts
airmail airmailed airmailing airmails
airt airted airting airts
alarm alarmed alarming alarms
alchemize alchemized alchemizing alchemizes
alcoholize alcoholized alcoholizing alcoholizes
alert alerted alerting alerts
alias aliased aliasing aliases
alibi alibied alibiing alibis,
alien aliened aliening aliens
alienate alienated alienating alienates
align aligned aligning aligns
aliment alimented alimenting aliments
aline alined alining alines
alkalify alkalified alkalifying alkalifies
alkalinize alkalinized alkalinizing alkalinizes
alkalize alkalized alkalizing alkalizes
allay allayed allaying allays
allege alleged alleging alleges
allegorize allegorized allegorizing allegorizes
alleviate alleviated alleviating alleviates
alligator alligatored alligatoring alligators
alliterate alliterated alliterating alliterates
allocate allocated allocating allocates
allot allotted allotting allots
allow allowed allowing allows
allowance allowanced allowancing allowances
alloy alloyed alloying alloys
allude alluded alluding alludes
allure allured alluring allures
ally allied allying allies
alphabetize alphabetized alphabetizing alphabetizes
alter altered altering alters
altercate altercated altercating altercates
alternate alternated alternating alternates
aluminize aluminized aluminizing aluminizes
amalgamate amalgamated amalgamating amalgamates
amass amassed amassing amasses
amaze amazed amazing amazes
ambition ambitioned ambitioning ambitions
amble ambled ambling ambles
ambulate ambulated ambulating ambulates
ambuscade ambuscaded ambuscading ambuscades
ambush ambushed ambushing ambushes
ameliorate ameliorated ameliorating ameliorates
amend amended amending amends
amerce amerced amercing amerces
ammoniate ammoniated ammoniating ammoniates
ammonify ammonified ammonifying ammonifies
amnesty amnestied amnestying amnesties
amortise amortised amortising amortises
amortize amortized amortizing amortizes
amount amounted amounting amounts
amplify amplified amplifying amplifies
amputate amputated amputating amputates
amuse amused amusing amuses
anaesthetize anaesthetized anaesthetizing anaesthetizes
anagram anagrammed anagramming anagrams
anagrammatize anagrammatized anagrammatizing anagrammatizes
analogize analogized analogizing analogizes
analyse analysed analysing analyses
analyze analyzed analyzing analyzes
anastomose anastomosed anastomosing anastomoses
anathematize anathematized anathematizing anathematizes
anatomise anatomised anatomising anatomises
anatomize anatomized anatomizing anatomizes
anchor anchored anchoring anchors
anele aneled aneling aneles
anesthetize anesthetized anesthetizing anesthetizes
angel angeled angeling angels
anger angered angering angers
angle angled angling angles
anglicise anglicised anglicising anglicises
anglicize anglicized anglicizing anglicizes
anguish anguished anguishing anguishes
animadvert animadverted animadverting animadverts
animalize animalized animalizing animalizes
animate animated animating animates
ankylose ankylosed ankylosing ankyloses
anneal annealed annealing anneals
annex annexed annexing annexes
annihilate annihilated annihilating annihilates
annotate annotated annotating annotates
announce announced announcing announces
annoy annoyed annoying annoys
annul annulled annulling annuls
annunciate annunciated annunciating annunciates
anodize anodized anodizing anodizes
anoint anointed anointing anoints
answer answered answering answers
antagonise antagonised antagonising antagonises
antagonize antagonized antagonizing antagonizes
antecede anteceded anteceding antecedes
antedate antedated antedating antedates
anthem anthemed antheming anthems
anthologize anthologized anthologizing anthologizes
anthropomorphize anthropomorphized anthropomorphizing anthropomorphizes
antic anticked anticking antics
anticipate anticipated anticipating anticipates
antidote antidoted antidoting antidotes
antiquate antiquated antiquating antiquates
antique antiqued antiquing antiques
ape aped aping apes
aphorize aphorized aphorizing aphorizes
apologise apologised apologising apologises
apologize apologized apologizing apologizes
apostatise apostatised apostatising apostatises
apostatize apostatized apostatizing apostatizes
apostrophize apostrophized apostrophizing apostrophizes
apotheosize apotheosized apotheosizing apotheosizes
appal appalled appalling appals
appall appalled appalling appalls
appeal appealed appealing appeals
appear appeared appearing appears
appease appeased appeasing appeases
append appended appending appends
apperceive apperceived apperceiving apperceives
appertain appertained appertaining appertains
applaud applauded applauding applauds
applique appliqued appliqueing appliques
apply applied applying applies
appoint appointed appointing appoints
apportion apportioned apportioning apportions
appose apposed apposing apposes
appraise appraised appraising appraises
appreciate appreciated appreciating appreciates
apprehend apprehended apprehending apprehends
apprentice apprenticed apprenticing apprentices
apprise apprised apprising apprises
apprize apprized apprizing apprizes
approach approached approaching approaches
approbate approbated approbating approbates
appropriate appropriated appropriating appropriates
approve approved approving approves
approximate approximated approximating approximates
apron aproned aproning aprons
aquaplane aquaplaned aquaplaning aquaplanes
aquatint aquatinted aquatinting aquatints
arbitrage arbitraged arbitraging arbitrages
arbitrate arbitrated arbitrating arbitrates
arborize arborized arborizing arborizes
arcade arcaded arcading arcades
arch arched arching arches
archaize archaized archaizing archaizes
architect architected architecting architects
archive archived archiving archives
argue argued arguing argues
argufy argufied argufying argufies
arise arose arisen arising
arm armed arming arms
armor armored armoring armors
armour armoured armouring armours
aromatize aromatized aromatizing aromatizes
arouse aroused arousing arouses
arraign arraigned arraigning arraigns
arrange arranged arranging arranges
array arrayed arraying arrays
arrest arrested arresting arrests
arrive arrived arriving arrives
arrogate arrogated arrogating arrogates
arrow arrowed arrowing arrows
arterialise arterialised arterialising arterialises
arterialize arterialized arterializing arterializes
article articled articling articles
articulate articulated articulating articulates
ascend ascended ascending ascends
ascertain ascertained ascertaining ascertains
ascribe ascribed ascribing ascribes
ash ashed ashing ashes
ashlar ashlared ashlaring ashlars
ask asked asking asks
asperse aspersed aspersing asperses
asphalt asphalted asphalting asphalts
asphyxiate asphyxiated asphyxiating asphyxiates
aspirate aspirated aspirating aspirates
aspire aspired aspiring aspires
assail assailed assailing assails
assassinate assassinated assassinating assassinates
assault assaulted assaulting assaults
assay assayed assaying assays
assemble assembled assembling assembles
assent assented assenting assents
assert asserted asserting asserts
assess assessed assessing assesses
asseverate asseverated asseverating asseverates
assibilate assibilated assibilating assibilates
assign assigned assigning assigns
assimilate assimilated assimilating assimilates
assist assisted assisting assists
associate associated associating associates
assoil assoiled assoiling assoils
assort assorted assorting assorts
assuage assuaged assuaging assuages
assume assumed assuming assumes
assure assured assuring assures
asterisk asterisked asterisking asterisks
astonish astonished astonishing astonishes
astound astounded astounding astounds
atomize atomized atomizing atomizes
atone atoned atoning atones
atrophy atrophied atrophying atrophies
attach attached attaching attaches
attack attacked attacking attacks
attain attained attaining attains
attaint attainted attainting attaints
attemper attempered attempering attempers
attempt attempted attempting attempts
attend attended attending attends
attenuate attenuated attenuating attenuates
attest attested attesting attests
attire attired attiring attires
attitudinise attitudinised attitudinising attitudinises
attitudinize attitudinized attitudinizing attitudinizes
attorn attorned attorning attorns
attract attracted attracting attracts
attribute attributed attributing attributes
attune attuned attuning attunes
auction auctioned auctioning auctions
auctioneer auctioneered auctioneering auctioneers
audit audited auditing audits
audition auditioned auditioning auditions
augment augmented augmenting augments
augur augured auguring augurs
aurify aurified aurifying aurifies
auscultate auscultated auscultating auscultates
auspicate auspicated auspicating auspicates
authenticate authenticated authenticating authenticates
author authored authoring authors
authorise authorised authorising authorises
authorize authorized authorizing authorizes
autoclave autoclaved autoclaving autoclaves
autograph autographed autographing autographs
automate automated automating automates
automatize automatized automatizing automatizes
automobile automobiled automobiling automobiles
autopsy autopsied autopsying autopsies
autotomize autotomized autotomizing autotomizes
avail availed availing avails
avalanche avalanched avalanching avalanches
avenge avenged avenging avenges
aver averred averring avers
average averaged averaging averages
avert averted averting averts
avianize avianized avianizing avianizes
aviate aviated aviating aviates
avoid avoided avoiding avoids
avouch avouched avouching avouches
avow avowed avowing avows
avulse avulsed avulsing avulses
await awaited awaiting awaits
awaken awakened awakening awakens
award awarded awarding awards
awe awed awing, 2
ax axed axing axes
axe axed axing axes
baa baaed baaing baas
babbitt babbitted babbitting babbitts
babble babbled babbling babbles
baby babied babying babies
babysit babysit babysat babysitting
bach bached baching baches,
back backed backing backs
backbite backbit backbitten backbiting
backcross backcrossed backcrossing backcrosses
backdate backdated backdating backdates
backdrop backdropped backdropping backdrops
backfire backfired backfiring backfires
backgammon backgammoned backgammoning backgammons
background backgrounded backgrounding backgrounds
backhand backhanded backhanding backhands
backlash backlashed backlashing backlashes
backlog backlogged backlogging backlogs
backpack backpacked backpacking backpacks
backscatter backscattered backscattering backscatters
backslap backslapped backslapping backslaps
backspace backspaced backspacing backspaces
backstitch backstitched backstitching backstitches
backstop backstopped backstopping backstops
backstroke backstroked backstroking backstrokes
backtrack backtracked backtracking backtracks
backwash backwashed backwashing backwashes
bacterise bacterised bacterising bacterises
bacterize bacterized bacterizing bacterizes
badge badged badging badges
badger badgered badgering badgers
badinage badinaged badinaging badinages
badmouth badmouthed badmouthing badmouths
baffle baffled baffling baffles
bag bagged bagging bags
bagpipe bagpiped bagpiping bagpipes
bail bailed bailing bails
bait baited baiting baits
baize baized baizing baizes
bake baked baking bakes
baksheesh baksheeshed baksheeshing baksheeshes
balance balanced balancing balances
bald balded balding balds
bale baled baling bales
balk balked balking balks
balkanize balkanized balkanizing balkanizes
ball balled balling balls
ballast ballasted ballasting ballasts
balloon ballooned ballooning balloons
ballot balloted balloting ballots
ballyhoo ballyhooed ballyhooing ballyhoos
ballyrag ballyragged ballyragging ballyrags
bamboozle bamboozled bamboozling bamboozles
band banded banding bands
bandage bandaged bandaging bandages
bandy bandied bandying bandies
bang banged banging bangs
banish banished banishing banishes
bank banked banking banks
bankroll bankrolled bankrolling bankrolls
bankrupt bankrupted bankrupting bankrupts
banquet banqueted banqueting banquets
banter bantered bantering banters
baptise baptised baptising baptises
baptize baptized baptizing baptizes
barb barbed barbing barbs
barbarise barbarised barbarising barbarises
barbarize barbarized barbarizing barbarizes
barbecue barbecued barbecuing barbecues
barbeque barbequed barbequing barbeques
barber barbered barbering barbers
bard barded barding bards,
bare bared baring bares
barf barfed barfing barfs
bargain bargained bargaining bargains
barge barged barging barges
barhop barhopped barhopping barhops
bark barked barking barks
barn barned barning barns
barnstorm barnstormed barnstorming barnstorms
barrack barracked barracking barracks
barrage barraged barraging barrages
barricade barricaded barricading barricades
barricado barricadoed barricadoing barricadoes,
barter bartered bartering barters
base based basing bases
bash bashed bashing bashes
basify basified basifying basifies
bask basked basking basks
bastardise bastardised bastardising bastardises
bastardize bastardized bastardizing bastardizes
baste basted basting bastes
bastinado bastinadoed bastinadoing bastinadoes,
batch batched batching batches
bate bated bating bates
batfowl batfowled batfowling batfowls
bath bathed bathing baths
bathe bathed bathing bathes
batik batiked batiking batiks
batten battened battening battens
batter battered battering batters
battle battled battling battles
battledore battledored battledoring battledores
baulk baulked baulking baulks
bawl bawled bawling bawls
bay bayed baying bays
be was, 2 were
beach beached beaching beaches
beacon beaconed beaconing beacons
bead beaded beading beads
beam beamed beaming beams
bean beaned beaning beans
beard bearded bearding beards
beatify beatified beatifying beatifies
beau beaued beauing beaus
beautify beautified beautifying beautifies
beaver beavered beavering beavers
becalm becalmed becalming becalms
bechance bechanced bechancing bechances
becharm becharmed becharming becharms
beck becked becking becks
beckon beckoned beckoning beckons
becloud beclouded beclouding beclouds
become became become becoming
bed bedded bedding beds
bedamn bedamned bedamning bedamns
bedaub bedaubed bedaubing bedaubs
bedazzle bedazzled bedazzling bedazzles
bedeck bedecked bedecking bedecks
bedew bedewed bedewing bedews
bedight bedighted bedighting bedights
bedim bedimmed bedimming bedims
bedizen bedizened bedizening bedizens
bedraggle bedraggled bedraggling bedraggles
beef beefed beefing beefs
beep beeped beeping beeps
beeswax beeswaxed beeswaxing beeswaxes
beetle beetled beetling beetles
befall befell befallen befalling
befog befogged befogging befogs
befool befooled befooling befools
befoul befouled befouling befouls
befriend befriended befriending befriends
befuddle befuddled befuddling befuddles
beg begged begging begs
beget begot, 2 begotten,
beggar beggared beggaring beggars
begin began begun beginning
begrime begrimed begriming begrimes
begrudge begrudged begrudging begrudges
beguile beguiled beguiling beguiles
begum begummed begumming begums
behave behaved behaving behaves
behead beheaded beheading beheads
behold beheld beholding beholds
behoove behooved behooving behooves
behove behoved behoving behoves
bejewel bejeweled, | bejewelling
belabor belabored belaboring belabors
belabour belaboured belabouring belabours
belch belched belching belches
beleaguer beleaguered beleaguering beleaguers
belie belied belying belies
believe believed believing believes
belittle belittled belittling belittles
bell belled belling bells,
bellow bellowed bellowing bellows
belly bellied bellying bellies
bellyache bellyached bellyaching bellyaches
bellylaugh bellylaughed bellylaughing bellylaughs
belong belonged belonging belongs
belt belted belting belts
bemire bemired bemiring bemires
bemoan bemoaned bemoaning bemoans
bemock bemocked bemocking bemocks
bemuse bemused bemusing bemuses
bench benched benching benches
benchmark benchmarked benchmarking benchmarks
bend bent bending bends
benday bendayed bendaying bendays
benefice beneficed beneficing benefices
benumb benumbed benumbing benumbs
bepaint bepainted bepainting bepaints
bequeath bequeathed bequeathing bequeaths
berate berated berating berates
berry berried berrying berries
berth berthed berthing berths
beseem beseemed beseeming beseems
beset beset besetting besets
beshrew beshrewed beshrewing beshrews
besiege besieged besieging besieges
besmear besmeared besmearing besmears
besmirch besmirched besmirching besmirches
besot besotted besotting besots
bespangle bespangled bespangling bespangles
bespatter bespattered bespattering bespatters
bespeak bespoke, 2 bespoken,
besprinkle besprinkled besprinkling besprinkles
best bested besting bests
bestialise bestialised bestialising bestialises
bestialize bestialized bestializing bestializes
bestir bestirred bestirring bestirs
bestow bestowed bestowing bestows
betake betook betaken betaking
bethink bethought bethinking bethinks
betide betided betiding betides
betoken betokened betokening betokens
betray betrayed betraying betrays
betroth betrothed betrothing betroths
better bettered bettering betters
bewail bewailed bewailing bewails
beware bewared bewaring bewares
bewilder bewildered bewildering bewilders
bewitch bewitched bewitching bewitches
bewray bewrayed bewraying bewrays
bib bibbed bibbing bibs
bicker bickered bickering bickers
bicycle bicycled bicycling bicycles
bid bid, {command} bidden,
bield bielded bielding bields
biff biffed biffing biffs
bifurcate bifurcated bifurcating bifurcates
big bigged bigging bigs
bight bighted bighting bights
bike biked biking bikes
bilge bilged bilging bilges
bilk bilked bilking bilks
bill billed billing bills
billboard billboarded billboarding billboards
billet billeted billeting billets
billow billowed billowing billows
bin binned binning bins
bind bound binding binds
bioassay bioassayed bioassaying bioassays
biopsy biopsied biopsying biopsies
birch birched birching birches
bird birded birding birds
birdie birdied birdieing birdies
birdlime birdlimed birdliming birdlimes
birl birled birling birls,
birle birled birling birles
birr birred birring birrs
birth birthed birthing births
bisect bisected bisecting bisects
bishop bishoped bishoping bishops
bitch bitched bitching bitches
bite bit bitten biting
bitt bitted bitting bitts
bitter bittered bittering bitters
bituminize bituminized bituminizing bituminizes
bivouac bivouacked bivouacking bivouacs
blab blabbed blabbing blabs
blabber blabbered blabbering blabbers
black blacked blacking blacks
blackball blackballed blackballing blackballs
blackbird blackbirded blackbirding blackbirds
blacken blackened blackening blackens
blackguard blackguarded blackguarding blackguards
blackjack blackjacked blackjacking blackjacks
blackleg blacklegged blacklegging blacklegs
blacklist blacklisted blacklisting blacklists
blackmail blackmailed blackmailing blackmails
blacktop blacktopped blacktopping blacktops
blame blamed blaming blames
blanch blanched blanching blanches
blanco blancoed blancoing blancoes
blandish blandished blandishing blandishes
blank blanked blanking blanks
blanket blanketed blanketing blankets
blare blared blaring blares
blarney blarneyed blarneying blarneys
blaspheme blasphemed blaspheming blasphemes
blast blasted blasting blasts
blat blatted blatting blats
blather blathered blathering blathers
blaze blazed blazing blazes
blazon blazoned blazoning blazons
bleach bleached bleaching bleaches
blear bleared blearing blears
bleat bleated bleating bleats
bleed bled bleeding bleeds
bleep bleeped bleeping bleeps
blemish blemished blemishing blemishes
blench blenched blenching blenches
blether blethered blethering blethers
blight blighted blighting blights
blind blinded blinding blinds
blindfold blindfolded blindfolding blindfolds
blindside blindsided blindsiding blindsides
blink blinked blinking blinks
blinker blinkered blinkering blinkers
blip blipped blipping blips
blister blistered blistering blisters
blither blithered blithering blithers
blitz blitzed blitzing blitzes
blitzkrieg blitzkrieged blitzkrieging blitzkriegs
bloat bloated bloating bloats
blob blobbed blobbing blobs
block blocked blocking blocks
blockade blockaded blockading blockades
blood blooded blooding bloods
bloody bloodied bloodying bloodies
bloom bloomed blooming blooms
bloop blooped blooping bloops
blossom blossomed blossoming blossoms
blot blotted blotting blots
blotch blotched blotching blotches
blouse bloused blousing blouses
blow blew, 2 blown,
blowtorch blowtorched blowtorching blowtorches
blubber blubbered blubbering blubbers
bludgeon bludgeoned bludgeoning bludgeons
blueprint blueprinted blueprinting blueprints
bluff bluffed bluffing bluffs
blunder blundered blundering blunders
blunt blunted blunting blunts
blur blurred blurring blurs
blurb blurbed blurbing blurbs
blurt blurted blurting blurts
blush blushed blushing blushes
bluster blustered blustering blusters
board boarded boarding boards
boast boasted boasting boasts
boat boated boating boats
bob bobbed bobbing bobs
bobble bobbled bobbling bobbles
bobsled bobsledded bobsledding bobsleds
bobsleigh bobsleighed bobsleighing bobsleighs
bobtail bobtailed bobtailing bobtails
bode boded boding bodes
body bodied bodying bodies
bog bogged bogging bogs
boggle boggled boggling boggles
bogie bogied bogieing bogies
boil boiled boiling boils
boldface boldfaced boldfacing boldfaces
bollix bollixed bollixing bollixes
bollocks bollocksed bollocksing bollockses
bolshevise bolshevised bolshevising bolshevises
bolshevize bolshevized bolshevizing bolshevizes
bolster bolstered bolstering bolsters
bolt bolted bolting bolts
bomb bombed bombing bombs
bombard bombarded bombarding bombards
bombilate bombilated bombilating bombilates
bombinate bombinated bombinating bombinates
bombproof bombproofed bombproofing bombproofs
bond bonded bonding bonds
bone boned boning bones
bong bonged bonging bongs
bonk bonked bonking bonks
bonnet bonneted bonneting bonnets
boo booed booing boos
boob boobed boobing boobs
boodle boodled boodling boodles
boogie boogied boogieing, 2
boohoo boohooed boohooing boohoos
book booked booking books
bookmark bookmarked bookmarking bookmarks
boom boomed booming booms
boomerang boomeranged boomeranging boomerangs
boondoggle boondoggled boondoggling boondoggles
boost boosted boosting boosts
boot booted booting boots
bootleg bootlegged bootlegging bootlegs
bootlick bootlicked bootlicking bootlicks
bootstrap bootstrapped bootstrapping bootstraps
booze boozed boozing boozes
bop bopped bopping bops
border bordered bordering borders
bore bored boring bores
borrow borrowed borrowing borrows
bosom bosomed bosoming bosoms
boss bossed bossing bosses
botanise botanised botanising botanises
botanize botanized botanizing botanizes
botch botched botching botches
bother bothered bothering bothers
bottle bottled bottling bottles
bottleneck bottlenecked bottlenecking bottlenecks
bottom bottomed bottoming bottoms
bounce bounced bouncing bounces
bound bounded bounding bounds
bourgeon bourgeoned bourgeoning bourgeons
bouse boused bousing bouses
bow bowed bowing bows
bowdlerise bowdlerised bowdlerising bowdlerises
bowdlerize bowdlerized bowdlerizing bowdlerizes
bower bowered bowering bowers
bowl bowled bowling bowls
bowse bowsed bowsing bowses
box boxed boxing boxes
boycott boycotted boycotting boycotts
brabble brabbled brabbling brabbles
brace braced bracing braces
brachiate brachiated brachiating brachiates
bracket bracketed bracketing brackets
brad bradded bradding brads
brag bragged bragging brags
braid braided braiding braids
braille brailled brailling brailles
brain brained braining brains
brainstorm brainstormed brainstorming brainstorms
brainwash brainwashed brainwashing brainwashes
braise braised braising braises
brake braked braking brakes
bramble brambled brambling brambles
bran branned branning brans
branch branched branching branches
brand branded branding brands
brander brandered brandering branders
brandish brandished brandishing brandishes
brandy brandied brandying brandies
brattice bratticed bratticing brattices
brattle brattled brattling brattles
brave braved braving braves
bravo bravoed bravoing bravos,
brawl brawled brawling brawls
bray brayed braying brays
braze brazed brazing brazes
brazen brazened brazening brazens
breach breached breaching breaches
bread breaded breading breads
breadboard breadboarded breadboarding breadboards
break broke broken breaking
breakfast breakfasted breakfasting breakfasts
bream breamed breaming breams
breast breasted breasting breasts
breathalyse breathalysed breathalysing breathalyses
breathalyze breathalyzed breathalyzing breathalyzes
breathe breathed breathing breathes
brecciate brecciated brecciating brecciates
breech breeched breeching breeches
breed bred breeding breeds
breeze breezed breezing breezes
brew brewed brewing brews
bribe bribed bribing bribes
brick bricked bricking bricks
bridge bridged bridging bridges
bridle bridled bridling bridles
brief briefed briefing briefs
brigade brigaded brigading brigades
brighten brightened brightening brightens
brim brimmed brimming brims
brine brined brining brines
bring brought bringing brings
briquet briquetted briquetting briquets
briquette briquetted briquetting briquettes
brisk brisked brisking brisks
brisken briskened briskening briskens
bristle bristled bristling bristles
brittle brittled brittling brittles
broach broached broaching broaches
broaden broadened broadening broadens
broadside broadsided broadsiding broadsides
brocade brocaded brocading brocades
broider broidered broidering broiders
broil broiled broiling broils
broker brokered brokering brokers
bromate bromated bromating bromates
brominate brominated brominating brominates
bronze bronzed bronzing bronzes
brood brooded brooding broods
brook brooked brooking brooks
broom broomed brooming brooms
browbeat browbeat browbeaten browbeating
brown browned browning browns
browse browsed browsing browses
bruise bruised bruising bruises
bruit bruited bruiting bruits
brunch brunched brunching brunches
brush brushed brushing brushes
brutalise brutalised brutalising brutalises
brutalize brutalized brutalizing brutalizes
brute bruted bruting brutes
bubble bubbled bubbling bubbles
buccaneer buccaneered buccaneering buccaneers
buck bucked bucking bucks
bucket bucketed bucketing buckets
buckle buckled buckling buckles
buckler bucklered bucklering bucklers
buckram buckramed buckraming buckrams
bud budded budding buds
buddy buddied buddying buddies
budge budged budging budges
budget budgeted budgeting budgets
buff buffed buffing buffs
buffalo buffaloed buffaloing buffaloes,
buffer buffered buffering buffers
buffet buffeted buffeting buffets
bug bugged bugging bugs
bugger buggered buggering buggers
bugle bugled bugling bugles
build built, 2 building
bulge bulged bulging bulges
bulk bulked bulking bulks
bull bulled bulling bulls
bulldog bulldogged bulldogging bulldogs
bulldoze bulldozed bulldozing bulldozes
bullet bulleted bulleting bullets
bulletin bulletined bulletining bulletins
bulletproof bulletproofed bulletproofing bulletproofs
bully bullied bullying bullies
bullyrag bullyragged bullyragging bullyrags
bulwark bulwarked bulwarking bulwarks
bum bummed bumming bums
bumble bumbled bumbling bumbles
bump bumped bumping bumps
bumper bumpered bumpering bumpers
bunch bunched bunching bunches
bunco buncoed buncoing buncos,
bundle bundled bundling bundles
bung bunged bunging bungs
bungle bungled bungling bungles
bunk bunked bunking bunks
bunker bunkered bunkering bunkers
bunko bunkoed bunkoing bunkos,
bunt bunted bunting bunts
buoy buoyed buoying buoys
bur burred burring burs
burble burbled burbling burbles
burden burdened burdening burdens
bureaucratize bureaucratized bureaucratizing bureaucratizes
burgeon burgeoned burgeoning burgeons
burglarize burglarized burglarizing burglarizes
burglarproof burglarproofed burglarproofing burglarproofs
burgle burgled burgling burgles
burke burked burking burkes
burl burled burling burls
burlesque burlesqued burlesquing burlesques
burnish burnished burnishing burnishes
burp burped burping burps
burr burred burring burrs
burrow burrowed burrowing burrows
burthen burthened burthening burthens
bury buried burying buries
bush bushed bushing bushes
bushwhack bushwhacked bushwhacking bushwhacks
buss bussed bussing busses
bustle bustled bustling bustles
busy busied busying busies
butcher butchered butchering butchers
butt butted butting butts
butter buttered buttering butters
butterfly butterflied butterflying butterflies
button buttoned buttoning buttons
buttonhole buttonholed buttonholing buttonholes
buttress buttressed buttressing buttresses
butylate butylated butylating butylates
buy bought buying buys
buzz buzzed buzzing buzzes
byline bylined bylining bylines
cab cabbed cabbing cabs
cabal caballed caballing cabals
cabbage cabbaged cabbaging cabbages
cabin cabined cabining cabins
cable cabled cabling cables
cache cached caching caches
cachinnate cachinnated cachinnating cachinnates
cackle cackled cackling cackles
caddie caddied caddying caddies
caddy caddied caddying caddies
cadence cadenced cadencing cadences
cadge cadged cadging cadges
